County,New Positives,All Positives,New Tests,All Tests
Albany,95,5108,3915,239240
Allegany,39,846,505,38014
Bronx,344,60979,10351,1206589
Broome,67,4859,2477,210806
Cattaraugus,35,877,481,56542
Cayuga,6,704,239,64777
Chautauqua,30,1392,970,101408
Chemung,76,2647,868,86423
Chenango,12,563,268,42868
Clinton,6,418,463,60058
Columbia,10,962,342,50919
Cortland,14,884,590,57690
Delaware,9,309,154,34863
Dutchess,65,6634,2110,268476
Erie,521,21075,7823,707999
Essex,2,248,152,27693
Franklin,2,231,177,36077
Fulton,3,432,228,36181
Genesee,23,758,256,47880
Greene,4,626,107,31455
Hamilton,1,37,88,3461
Herkimer,11,575,581,56460
Jefferson,11,418,412,54817
Kings,479,84609,24041,2188859
Lewis,0,300,53,17125
Livingston,6,583,1377,50554
Madison,2,797,142,58719
Monroe,314,12406,11508,663752
Montgomery,2,378,97,39066
Nassau,437,56706,13335,1316076
New York,358,42354,25139,1832910
Niagara,64,3152,1633,155038
Oneida,43,4081,1526,279648
Onondaga,213,9160,7766,459946
Ontario,15,1087,1699,84631
Orange,73,15872,2316,277350
Orleans,7,561,119,24451
Oswego,23,1187,1001,84990
Otsego,3,508,620,46700
Putnam,6,2362,141,75084
Queens,493,85777,16852,1891282
Rensselaer,21,1515,2155,138371
Richmond,256,21046,5835,472603
Rockland,91,20602,2574,310600
Saratoga,29,1904,1086,173666
Schenectady,11,2073,673,141539
Schoharie,3,169,42,20325
Schuyler,9,262,132,16510
Seneca,3,243,72,24177
St. Lawrence,9,667,1030,111266
Steuben,32,1557,679,69979
Suffolk,532,56339,14027,1329462
Sullivan,13,2078,490,46534
Tioga,11,1024,249,38658
Tompkins,28,904,11529,657472
Ulster,19,3023,1752,148145
Warren,5,542,646,47831
Washington,4,422,203,43523
Wayne,11,912,371,70256
Westchester,372,46841,9875,1023281
Wyoming,4,401,128,29955
Yates,4,228,138,15321
